Umur,Berat Badan,Jenis Kelamin,Tinggi Badan,Status Gizi
12-24,5.9-12.2,P,59.6-87.8,Gizi Kurang
12-24,5.9-12.2,P,59.6-87.8,Normal
12-24,5.9-12.2,P,59.6-87.8,Gizi Kurang
12-24,5.9-12.2,L,59.6-87.8,Gizi Kurang
12-24,5.9-12.2,P,59.6-87.8,Gizi Buruk
12-24,5.9-12.2,L,59.6-87.8,Gizi Kurang
12-24,5.9-12.2,P,59.6-87.8,Normal
12-24,5.9-12.2,P,59.6-87.8,Gizi Kurang
12-24,5.9-12.2,L,59.6-87.8,Normal
12-24,5.9-12.2,P,59.6-87.8,Normal
12-24,5.9-12.2,L,59.6-87.8,Gizi Kurang
12-24,5.9-12.2,P,59.6-87.8,Gizi Kurang
12-24,5.9-12.2,K,59.6-87.8,Normal
12-24,5.9-12.2,L,59.6-87.8,Normal
12-24,5.9-12.2,P,59.6-87.8,Normal
12-24,5.9-12.2,L,59.6-87.8,Gizi Kurang
12-24,5.9-12.2,P,59.6-87.8,Normal
12-24,5.9-12.2,L,59.6-87.8,Gizi Buruk
12-24,5.9-12.2,L,59.6-87.8,Gizi Kurang
12-24,5.9-12.2,L,59.6-87.8,Gizi Buruk
12-24,5.9-12.2,L,59.6-87.8,Gizi Kurang
12-24,5.9-12.2,P,59.6-87.8,Normal
12-24,5.9-12.2,L,59.6-87.8,Gizi Kurang
12-24,5.9-12.2,L,59.6-87.8,Gizi Kurang
12-24,5.9-12.2,L,59.6-87.8,Gizi Kurang
12-24,5.9-12.2,L,59.6-87.8,Normal
12-24,5.9-12.2,P,59.6-87.8,Normal
12-24,5.9-12.2,P,59.6-87.8,Normal
12-24,5.9-12.2,L,59.6-87.8,Normal
12-24,5.9-12.2,L,59.6-87.8,Normal
12-24,5.9-12.2,P,59.6-87.8,Normal
12-24,5.9-12.2,P,59.6-87.8,Normal
12-24,5.9-12.2,L,59.6-87.8,Normal
12-24,5.9-12.2,P,59.6-87.8,Gizi Buruk
12-24,5.9-12.2,L,59.6-87.8,Gizi Buruk
12-24,5.9-12.2,P,59.6-87.8,Normal
12-24,5.9-12.2,P,59.6-87.8,Gizi Kurang
12-24,5.9-12.2,P,59.6-87.8,Normal
12-24,5.9-12.2,L,59.6-87.8,Gizi Kurang
12-24,5.9-12.2,L,59.6-87.8,Normal
12-24,5.9-12.2,L,59.6-87.8,Gizi Buruk
12-24,5.9-12.2,P,59.6-87.8,Gizi Kurang
12-24,5.9-12.2,P,87.9-96.1,Normal
12-24,5.9-12.2,P,59.6-87.8,Normal
12-24,5.9-12.2,P,59.6-87.8,Gizi Kurang
12-24,5.9-12.2,P,87.9-96.1,Gizi Kurang
12-24,5.9-12.2,P,87.9-96.1,Normal
25-36,5.9-12.2,L,59.6-87.8,Gizi Kurang
25-36,5.9-12.2,L,59.6-87.8,Gizi Kurang
25-36,5.9-12.2,L,59.6-87.8,Normal
25-36,5.9-12.2,L,59.6-87.8,Normal
25-36,5.9-12.2,P,59.6-87.8,Normal
25-36,5.9-12.2,L,59.6-87.8,Normal
